Link incidecoder,brand,short_product_name,date_upload,incide_enDescription,incide_ingredients,incide_imageKey,process,productName,productName_clean,incide_productName,isTrue_productName
https://incidecoder.com/products/the-body-shop-edelweiss-intense-smoothing-cream,The Body Shop,Edelweiss Intense Smoothing Cream,05/22/2023,"An intensely rich and nourishing cream, this non-greasy formula has a silky texture and melts into skin effortlessly, helping protect against indoor and outdoor pollution and leaves skin feeling deeply nourished, firmer and ultra-soft.","Aqua/​Water/​Eau, Glycerin, Coco-Caprylate/​Caprate, Caprylic/​Capric Triglyceride, Butyrospermum Parkii Butter, Octyldodecanol, Cetyl Alcohol, Glyceryl Stearate, Tapioca Starch, Helianthus Annuus Seed Oil/​Helianthus Annuus (Sunflower) Seed Oil, Sorbitan Stearate, Ethyl Oleate, Phenoxyethanol, Squalane, Ethyl Stearate, Caprylyl Glycol, Carbomer, Ethylhexylglycerin, Sodium Gluconate, Sclerotium Gum, Xanthan Gum, Parfum/​Fragrance, Butyrospermum Parkii Butter Unsaponifiables, Ethyl Linoleate, Sodium Hyaluronate, Sodium Hydroxide, Tocopherol, Ethyl Palmitate, Linalool, Adenosine, Leontopodium Alpinum Flower/​Leaf Extract, Citronellol, Moringa Oleifera Seed Oil, Pentylene Glycol, Hydrolyzed Rice Protein, Limonene, Benzyl Alcohol, Citric Acid, Leontopodium Alpinum Callus Culture Extract",https://incidecoder-content.storage.googleapis.com/e5015c6f-b257-4072-9a7b-31d98e1db03e/products/the-body-shop-edelweiss-intense-smoothing-cream/the-body-shop-edelweiss-intense-smoothing-cream_front_photo_original.jpeg,Success,The Body Shop  Edelweiss Intense Smoothing Cream,The Body Shop  Edelweiss Intense Smoothing Cream,The Body Shop Edelweiss Intense Smoothing Cream,True
https://incidecoder.com/products/the-body-shop-edelweiss-smoothing-day-cream,The Body Shop,Edelweiss Smoothing Day Cream,02/13/2023,For smoother looking skinhelps maintain skin's natural moisture barrier.,"Aqua/​Water/​Eau, Glycerin, Alcohol Denat, Hydrogenated Ethylhexyl Olivate, Aluminum Starch Octenylsuccinate, Heptyl Undecylenate, Limnanthes Alba Seed Oil/​Limnanthes Alba (Meadowfoam) Seed Oil, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Hydrogenated Olive Oil Unsaponifiables, Phenoxyethanol, Caprylyl Glycol, Cetyl Alcohol, Sodium Hydroxide, Salicylic Acid, Polyglyceryl-3 Distearate, Caffeine, Tocopherol, Parfum/​Fragrance, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Sodium Gluconate, Adenosine, Leontopodium Alpinum Flower/​Leaf Extract, Linalool, Citronellol, Moringa Oleifera Seed Oil, Glyceryl Stearate Citrate, Citric Acid, Limonene, Benzyl Alcohol, Leontopodium Alpinum Callus Culture Extract, Xanthan Gum",https://incidecoder-content.storage.googleapis.com/f476c03f-f2b7-4c4a-8d77-be0f2829227a/products/the-body-shop-edelweiss-smoothing-day-cream/the-body-shop-edelweiss-smoothing-day-cream_front_photo_original.jpeg,Success,The Body Shop  Edelweiss Smoothing Day Cream,The Body Shop  Edelweiss Smoothing Day Cream,The Body Shop Edelweiss Smoothing Day Cream,True
https://incidecoder.com/products/the-body-shop-vitamin-e-gel-moisture-cream,The Body Shop,Vitamin E Gel Moisture Cream,10/22/2019,"This oil-free, lightweight and fast absorbing daily moisturizer is formulated with natural origin hyaluronic acid derived from bio-fermented wheat-germ from Pomacle, France and raspberry extract, containing Vitamin E, to refresh and re-plump your skin with moisture.","Aqua/​Water/​Eau, Glycerin, Alcohol Denat, Dimethicone, Butylene Glycol, Carbomer, Tocopherol, Phenoxyethanol, Dimethiconol, Sodium Hydroxide, Parfum/​Fragrance, Sodium Hyaluronate, Caprylyl Glycol, Salicylic Acid, Tetrasodium EDTA, Synthetic Fluorphlogopite, Linalool, Rubus Idaeus Fruit Extract/​Raspberry Fruit Extract, Aloe Barbadensis Leaf Juice Powder, Geraniol, Citronellol, Benzyl Alcohol, Ci 77891/​Titanium Dioxide",https://incidecoder-content.storage.googleapis.com/74b2fa53-4710-4f6b-91a4-e15fb9fc2f15/products/the-body-shop-vitamin-e-gel-moisture-cream/the-body-shop-vitamin-e-gel-moisture-cream_front_photo_original.jpeg,Success,The Body Shop Vitamin E Moisture Gel Cream,The Body Shop Vitamin E Moisture Gel Cream,The Body Shop Vitamin E Gel Moisture Cream,True
,,,,,,,None link found,The Body Shop  Tea Tree Skin Clearing Hydrator,The Body Shop  Tea Tree Skin Clearing Hydrator,,True
https://incidecoder.com/products/the-body-shop-oils-of-life-tm-intensely-revitalising-gel-cream,The Body Shop,Oils Of Life™ Intensely Revitalising Gel Cream,05/29/2020,"This fresh gel-cream is a lighter alternative to our rich Oils of Life™ Intensely Revitalising Cream. Infused with three precious seed oils from around the world, the gel-cream melts into skin and instantly hydrates for a fresh, light and non-greasy finish.","Aqua, Glycerin, Alcohol Denat, Dimethicone, Butylene Glycol, Fagus Sylvatica Bud Extract, Phenoxyethanol, Carbomer, Dimethiconol, Olea Europaea Fruit Oil, Rosa Canina Fruit Oil, Camellia Oleifera Seed Oil, Caprylyl Glycol, Sodium Hydroxide, Adenosine, Ascorbyl Glucoside, Mannose, Nigella Sativa Seed Oil, Synthetic Fluorphlogopite, Parfum, Disodium EDTA, Linalool, Limonene, Geraniol, Citronellol, Benzoic Acid, Sorbic Acid, Tocopherol, Ci 77891, Ci 19140, Ci 14700",https://incidecoder-content.storage.googleapis.com/fc91d220-f6b4-45ae-b3cb-80dcdaad4852/products/the-body-shop-oils-of-life-tm-intensely-revitalising-gel-cream/the-body-shop-oils-of-life-tm-intensely-revitalising-gel-cream_front_photo_original.jpeg,Success,The Body Shop Oils of Life™ Intensely Revitalising Cream,The Body Shop Oils of Life™ Intensely Revitalising Cream,The Body Shop Oils Of Life™ Intensely Revitalising Gel Cream,True
https://incidecoder.com/products/the-body-shop-aloe-soothing-day-cream,The Body Shop,Aloe Soothing Day Cream,11/28/2019,"Use this gentle moisturiser to help calm sensitive and dry skin. Formulated without fragrance, colour, preservatives and alcohol, this is the perfect choice for sensitive skin.","Aqua, Isononyl Isononanoate, Glycerin, Pentylene Glycol, Cyclopentasiloxane, Butylene Glycol, Cetearyl Alcohol, Myristyl Myristate, Sesamum Indicum Seed Oil, Cetyl Alcohol, Cyclohexasiloxane, Myristyl Alcohol, Stearic Acid, Cetearyl Glucoside, Palmitic Acid, Aloe Barbadensis Leaf Juice Powder, Myristyl Glucoside, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, P-Anisic Acid, Sodium Hydroxide, Bisabolol, Xanthan Gum, Disodium EDTA, Myristic Acid, PEG-30 Dipolyhydroxystearate, Trideceth-6, Avena Sativa Kernel Extract",https://incidecoder-content.storage.googleapis.com/f26ba987-b821-498c-8205-e5e335680ae4/products/the-body-shop-aloe-soothing-day-cream/the-body-shop-aloe-soothing-day-cream_front_photo_original.jpeg,Success,The Body Shop  Aloe Soothing Day Cream,The Body Shop  Aloe Soothing Day Cream,The Body Shop Aloe Soothing Day Cream,True
https://incidecoder.com/products/the-body-shop-aloe-soothing-night-cream,The Body Shop,Aloe Soothing Night Cream,11/28/2019,"Developed to give sensitive skin extra care, our gentle, velvety aloe night cream nourishes, softens and soothes. Use overnight to restore moisture and calm the skin.","Aqua, Glycerin, Pentylene Glycol, Caprylic/​Capric Triglyceride, Butylene Glycol, Hydrogenated Vegetable Glycerides Citrate, Isononyl Isononanoate, Elaeis Guineensis Oil, Myristyl Myristate, Octyldodecanol, Sesamum Indicum Seed Oil, Squalane, Cetearyl Alcohol, Cetyl Alcohol, Butyrospermum Parkii Butter, Panthenol, Aloe Barbadensis Leaf Juice Powder, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Xanthan Gum, Bisabolol, Polylysine, Sodium Hydroxide, Disodium EDTA, PEG-30 Dipolyhydroxystearate, Trideceth-6, Avena Sativa Kernel Extract, Sodium Chloride, Citric Acid",https://incidecoder-content.storage.googleapis.com/606ddd41-8948-420d-8fea-0b72c810b3a8/products/the-body-shop-aloe-soothing-night-cream/the-body-shop-aloe-soothing-night-cream_front_photo_original.jpeg,Success,The Body Shop Aloe Soothing Night Cream ,The Body Shop Aloe Soothing Night Cream,The Body Shop Aloe Soothing Night Cream,False
,,,,,,,None link found,The Body Shop Oils Of Life™ Intensely Revitalising Sleeping Cream ,The Body Shop Oils Of Life™ Intensely Revitalising Sleeping Cream,,False
,,,,,,,None link found,The Body Shop Oils Of Life™ Intensely Revitalising Eye Cream-Gel,The Body Shop Oils Of Life™ Intensely Revitalising Eye Cream-Gel,,True
https://incidecoder.com/products/the-body-shop-edelweiss-eye-serum-concentrate,The Body Shop,Edelweiss Eye Serum Concentrate,05/21/2023,"Eye concentrate that leaves the eye area looking smoother, fresher and plumped with 24h moisture.","Aqua/​Water/​Eau, Propanediol, Alcohol Denat, Glycerin, Pentylene Glycol, PEG-20 Methyl Glucose Sesquistearate, PVP, Silica, Sorbitol, Phenoxyethanol, Niacinamide, Pullulan, Avena Sativa Kernel Extract/​Avena Sativa (Oat) Kernel Extract, Ethylhexylglycerin, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Olea Europaea Fruit Oil/​Olea Europaea (Olive) Fruit Oil, Sodium Hyaluronate, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Citric Acid, Adenosine, Leontopodium Alpinum Flower/​Leaf Extract, Moringa Oleifera Seed Oil, Hydrolyzed Rice Protein, Tocopherol, Leontopodium Alpinum Callus Culture Extract",https://incidecoder-content.storage.googleapis.com/9d052845-78d9-4c90-ab6c-5ce3b975a571/products/the-body-shop-edelweiss-eye-serum-concentrate/the-body-shop-edelweiss-eye-serum-concentrate_front_photo_original.jpeg,Success,The Body Shop Edelweiss Eye Serum Concentrate,The Body Shop Edelweiss Eye Serum Concentrate,The Body Shop Edelweiss Eye Serum Concentrate,True
